Model,Train R2 FD001,Train RMSE FD001,Test R2 FD001,Test RMSE FD001,Train R2 FD002,Train RMSE FD002,Test R2 FD002,Test RMSE FD002,Train R2 FD003,Train RMSE FD003,Test R2 FD003,Test RMSE FD003,Train R2 FD004,Train RMSE FD004,Test R2 FD004,Test RMSE FD004
CNNLSTMTransformerHybridModel,0.45612651812128224,42.14101,-0.5836592085358543,52.2950565921926,0.7539595073657557,25.37872,0.7969710510396053,24.232043698996836,0.9285745346815222,10.57733,0.8604995013531995,15.461168121457076,0.8521085720696829,17.292227,0.7550353956230004,26.98595117469042
HybridTransformerLSTMModel,-0.0015092250099133508,57.18518,-0.08896984382367412,43.36483504656567,0.7812087532613351,23.932133,0.765837029151905,26.023767486904067,0.7185944327568976,20.994999,0.7097180719467981,22.30305842783315,0.864666092565602,16.541798,0.7941449347528078,24.73812848671627
TransformerModel,-0.2606273687561058,64.15778,-0.21529944175336868,45.811173973833746,0.613818878931889,31.795227,0.6865725740349483,30.1078371519703,0.8406769741829232,15.797515,0.7987621879769202,18.569885075357917,0.7752603864710517,21.316664,0.6805982821412191,30.81446882488653
CNNLSTMModel,-0.03023936788627757,57.999607,-1.8179679983632013e-10,41.55562056225294,-0.01906903381584124,51.64975,-0.08597510686958443,56.0429510044525,0.9478103199260571,9.041528,0.8582546970334672,15.585070130568015,-1.7266046936637025e-06,44.965538,-0.06474116653335082,56.26108261130367
StochasticLSTMModel,-0.20179059350127115,62.642693,-0.1304241631538272,44.1825205534472,0.6277973775601582,31.214481,0.5810530296862986,34.80892308824574,-0.011096234816724726,39.79658,-0.025582324951845425,41.92177728388794,0.7521840775618123,22.384325,0.5503807861518939,36.560194119358265
MultiSensorLSTMModel,-0.13374599938589782,60.84346,-0.07249681087937043,43.035591535431855,-0.08318354018390739,53.249737,-0.19163453042907785,58.70601484310113,0.6960224683281744,21.82078,0.6043355342684038,26.03861898954984,-0.04986163207825789,46.072887,-0.18005616582927142,59.229409277889026
StochasticMultiAttentionLSTMModel,0.3563831224611923,45.84265,-0.3056068745223164,47.48276341119588,0.6879784719369944,28.579767,0.7381454910700967,27.51953482698045,0.9217839376514405,11.068722,0.8393412593659983,16.59230039414209,0.8662781313224162,16.442984,0.7528174339548563,27.107844158079264
LSTMModel,0.1725822750985686,51.97786,-0.32909374932026436,47.90794914470025,0.8127082205669782,22.142454,0.8347510276366656,21.861524505188445,0.8813157652369288,13.634713,0.8751870099394949,14.624610771453213,0.8889367234076909,14.985273,0.8422239162250769,21.657416470110686
